customer_code,customer_name,contact_person,unit_price,tax_rate,quote_template
C001,Alpha Dental Clinic,Sato,120000,10,standard
C002,Bright Home Care,Suzuki,98000,10,standard
C003,Central Support Office,Tanaka,150000,10,executive
C004,Dream Visiting Nurse,Kobayashi,110000,10,standard
C005,Ever Smile Clinic,Nakamura,132000,10,standard
C006,Future Rehab Center,Inoue,125000,10,executive
C007,Green Senior Life,Yoshida,97000,10,standard
C008,Harbor Medical Team,Yamamoto,143000,10,standard
C009,Ideal Care Office,Kato,118000,10,standard
C010,Joy Family Support,Sasaki,108000,10,standard
C011,Kind Home Service,Aoki,102000,10,standard
C012,Link Wellness Lab,Matsuda,136000,10,executive
C013,Mirai Care Partner,Shimizu,114000,10,standard
C014,North Smile Clinic,Fujita,128000,10,standard
C015,Orange Health Office,Morita,119000,10,standard
C016,Peace Medical Support,Okada,141000,10,executive
C017,Quick Senior Assist,Ishikawa,96000,10,standard
C018,Rise Home Visit,Kondo,121000,10,standard
C019,Smile Rehab Base,Hasegawa,130000,10,standard
C020,Trust Care Network,Abe,145000,10,executive
