request_id,channel,raw_text
REQ-001,email,"急募です。4/20から中央区のクリニックで受付1名、時給1500円、平日9:00-18:00を探しています。"
REQ-002,line,"来週火曜から3日間、訪問看護の補助スタッフを2名お願いします。場所は横浜、日勤のみです。"
REQ-003,email,"求人票更新依頼。夜勤あり、介護施設、最寄り新宿、交通費支給、経験者優遇。"
REQ-004,line,"明後日から渋谷エリアでイベント受付1名、8:30-17:30、3日間だけ募集したいです。"
REQ-005,email,"都内の歯科クリニックで助手1名。週5、時給1600円、即日開始希望です。"
REQ-006,line,"川崎のデイサービスで送迎補助スタッフ募集、普通免許必須、朝夕の短時間シフトです。"
REQ-007,email,"訪問介護の案件です。大田区、土日含むシフト制、ヘルパー2級以上。"
REQ-008,line,"求人票を整えてほしいです。夜勤専従、1勤務25000円、場所は船橋。"
REQ-009,email,"レセプト経験者1名、週3勤務、10:00-16:00、交通費全額支給でお願いします。"
REQ-010,line,"5/1からの短期案件。展示会の誘導スタッフを4名、幕張、3日間です。"
REQ-011,email,"クリニック受付、平日だけ、時給1450円、最寄り池袋。早めに出したいです。"
REQ-012,line,"介護施設の看護師補助を2名、夜勤なし、厚木エリア。"
REQ-013,email,"人材紹介用の募集要項に変換したいです。条件は月給28万、訪問看護、未経験可。"
REQ-014,line,"LINE文面そのままですみません。来週から世田谷の保育補助、9時-15時、女性希望。"
REQ-015,email,"契約社員枠の依頼。採用広報アシスタント、週5、渋谷本社、PCスキル必須。"
REQ-016,line,"追加で1件。歯科衛生士、週2、自由が丘、午後のみシフト。"
REQ-017,email,"高齢者施設の事務、月末月初が繁忙、Excel 必須、横浜駅近。"
REQ-018,line,"夜勤ヘルパー急募、埼玉南部、1勤務28000円、週2から。"
REQ-019,email,"請求書処理の派遣案件、経理経験者、神田、時給1700円。"
REQ-020,line,"訪問診療の同行スタッフ、医療業界未経験でも可、月-金 9:00-18:00。"
