sample_id,vendor_name,invoice_date,total_amount,tax_amount
INV-001,Alpha Services,2026-04-01,132000,12000
INV-002,Bright Medical,2026-04-03,88000,8000
INV-003,Central Office,2026-04-05,154000,14000
INV-004,Delta Support,2026-04-06,121000,11000
INV-005,East Care,2026-04-07,99000,9000
INV-006,First Works,2026-04-08,143000,13000
INV-007,Green Health,2026-04-09,77000,7000
INV-008,Harbor Assist,2026-04-10,165000,15000
INV-009,Ideal Medical,2026-04-11,110000,10000
INV-010,Joy Office,2026-04-12,132000,12000
INV-011,Kind Partner,2026-04-13,96800,8800
INV-012,Link Services,2026-04-14,125400,11400
INV-013,Mirai Systems,2026-04-15,184800,16800
INV-014,North Team,2026-04-16,105600,9600
INV-015,Orange Clinic,2026-04-17,140800,12800
INV-016,Peace Design,2026-04-18,79200,7200
INV-017,Quick Agency,2026-04-19,171600,15600
INV-018,Rise Network,2026-04-20,118800,10800
INV-019,Smile Crew,2026-04-21,154000,14000
INV-020,Trust Media,2026-04-22,101200,9200
