vendor_name,invoice_month,due_date,owner,priority,status
Alpha Works,2026-04,2026-04-25,Sato,high,pending
Bright Support,2026-04,2026-04-26,Suzuki,medium,pending
Central Agency,2026-04,2026-04-28,Tanaka,high,pending
Delta Crew,2026-04,2026-04-24,Nakamura,medium,pending
East Medical,2026-04,2026-04-27,Kobayashi,low,pending
First Office,2026-04,2026-04-29,Takahashi,high,pending
Grow Partner,2026-04,2026-04-30,Inoue,medium,pending
Health Bridge,2026-04,2026-04-23,Yoshida,high,pending
Ideal Service,2026-04,2026-04-25,Yamamoto,medium,pending
Joint Assist,2026-04,2026-04-26,Kato,low,pending
Kind Staff,2026-04,2026-04-28,Sasaki,high,pending
Link Design,2026-04,2026-04-24,Aoki,medium,pending
Medical Route,2026-04,2026-04-27,Matsuda,high,pending
North Base,2026-04,2026-04-30,Shimizu,low,pending
Office Next,2026-04,2026-04-22,Fujita,high,pending
Prime Line,2026-04,2026-04-29,Morita,medium,pending
Quick Team,2026-04,2026-04-25,Okada,low,pending
Rise Connect,2026-04,2026-04-26,Ishikawa,high,pending
Smile Partner,2026-04,2026-04-28,Kondo,medium,pending
Trust Office,2026-04,2026-04-30,Hasegawa,high,pending
